Ticker,Strategy,Total Return (%),CAGR (%),Sharpe,Sortino,Max DD (%),Win Rate (%),Trades,Profit Factor,Tearsheet
NIFTY50,Minervini VCP Trend Filter,20.5,5.66,1.02,1.51,-5.91,50.0,6,11.93,C:\Users\HP\screenerpython\reports\tearsheets\NIFTY50_Minervini_VCP_Trend_Filter_tearsheet.html
NIFTY50,High Relative Volume Breakout,6.08,1.76,0.63,0.93,-4.55,50.0,2,113.36,C:\Users\HP\screenerpython\reports\tearsheets\NIFTY50_High_Relative_Volume_Breakout_tearsheet.html
NIFTY50,EMA 20/50 Golden Cross,19.36,5.36,0.51,0.71,-18.39,54.55,11,2.31,C:\Users\HP\screenerpython\reports\tearsheets\NIFTY50_EMA_20_50_Golden_Cross_tearsheet.html
HDFCBANK,High Relative Volume Breakout,12.28,3.47,0.48,0.65,-9.34,55.56,9,3.02,C:\Users\HP\screenerpython\reports\tearsheets\HDFCBANK_High_Relative_Volume_Breakout_tearsheet.html
HDFCBANK,Daily Momentum Breakout,11.69,3.31,0.42,0.63,-8.03,31.58,19,1.66,C:\Users\HP\screenerpython\reports\tearsheets\HDFCBANK_Daily_Momentum_Breakout_tearsheet.html
BANKNIFTY,RSI Bullish Breakout (>55),15.33,4.3,0.37,0.52,-14.58,33.33,30,1.37,C:\Users\HP\screenerpython\reports\tearsheets\BANKNIFTY_RSI_Bullish_Breakout_(GT55)_tearsheet.html
BANKNIFTY,Minervini VCP Trend Filter,4.94,1.44,0.31,0.42,-6.64,40.0,5,2.1,C:\Users\HP\screenerpython\reports\tearsheets\BANKNIFTY_Minervini_VCP_Trend_Filter_tearsheet.html
BANKNIFTY,Daily Momentum Breakout,4.58,1.33,0.3,0.44,-7.97,25.0,12,1.49,C:\Users\HP\screenerpython\reports\tearsheets\BANKNIFTY_Daily_Momentum_Breakout_tearsheet.html
TCS,Minervini VCP Trend Filter,6.35,1.83,0.27,0.42,-9.85,33.33,6,1.79,C:\Users\HP\screenerpython\reports\tearsheets\TCS_Minervini_VCP_Trend_Filter_tearsheet.html
NIFTY50,RSI Bullish Breakout (>55),5.6,1.62,0.2,0.27,-15.99,29.63,27,1.13,C:\Users\HP\screenerpython\reports\tearsheets\NIFTY50_RSI_Bullish_Breakout_(GT55)_tearsheet.html
